animal_ID,treatment_odor,sex,species,dead,length_mm,D_time_move_p,D_total_dist_m,D_avg_speed_BL,D_max_speed_BL,D_mean_speed_first_BL,D_diff_speed_first_last_BL,D_sharp_turns_p,D_spirals,D_continuous,D_max_still_sec
190626-01-top,100ul_milliQ_water,f,Aedes aegypti,no,5.2,-4.600199181966602,-0.5041546519784355,-0.05690134956961401,-1.3225567472631767,-0.15145992399271802,-0.20068192220649161,-2.237328781546436,2,-3,0.0
190626-01-bottom,100ul_milliQ_water,f,Aedes aegypti,no,5.9,2.7777777777777715,0.8262802163721128,0.14845335745412913,0.42948550830135623,0.6969096891576131,-1.0635251294486223,-1.333333333333334,3,16,-16.0
190626-02-top,100ul_milliQ_water,m,Aedes aegypti,no,5.2,0.11123470522803114,-0.02337342606504904,0.006450914780478434,0.12551892200826192,-0.004962796312200351,-0.01765752514483328,0.0,0,2,27.5
190626-02-bottom,100ul_milliQ_water,m,Aedes aegypti,no,5.3,18.96551724137931,0.6776248412623165,0.09826499021774476,-0.09679761656127162,-0.22948643642345362,0.5682004049442235,1.8909899888765294,-1,44,-116.5
190626-03-top,100ul_milliQ_water,missing,Aedes aegypti,missing,5.4,-22.413793103448278,-0.9909601561096295,-0.2866526589176056,-0.6063175954603381,-0.3200575640512485,0.25142959707371443,-2.6696329254727473,0,-66,181.0
190626-03-bottom,100ul_milliQ_water,f,Aedes aegypti,no,6.0,12.714987220698447,2.721907906611803,0.7418206262513183,1.0340177111685818,-0.14629349916681628,0.6315451630090345,3.953041250929277,3,48,-15.5
190626-04-top,100ul_milliQ_water,f,Aedes aegypti,no,6.4,-12.216845155966908,-0.30384890031961587,-3.362661062084049e-05,-0.06126596919894611,0.10783409986723985,-0.4211253838910476,-0.7763835783653761,-7,-38,-10.0
190626-04-bottom,100ul_milliQ_water,missing,Aedes aegypti,missing,4.6,7.867563811312252,-0.444066852031062,-0.2511111749685674,0.1379790602005535,-0.011467106619986622,-0.20563030958604345,-1.3843022809308039,2,6,-15.0
190626-05-top,100ul_milliQ_water,missing,Aedes aegypti,missing,5.9,4.33815350389321,0.11652811778679784,-0.04718472839523269,1.746150214892305,0.7907140232657544,-1.1698079605816996,0.38932146829810854,-5,9,-13.5
190626-05-bottom,100ul_milliQ_water,f,Aedes aegypti,no,6.0,11.679644048943267,0.37239767275733815,0.004536310285191414,-0.0453433965622807,-0.23295795025740176,0.6324550282473789,0.22246941045606228,8,51,9.0
190626-06-top,100ul_milliQ_water,m,Aedes aegypti,no,5.3,-20.912124582869854,-0.587522564576862,0.0038623479275811112,-0.15235116459610487,-0.6208050569284391,0.6458026074179355,-3.0589543937708568,-5,-36,-28.0
190626-06-bottom,100ul_milliQ_water,f,Aedes aegypti,no,6.0,1.1123470522803132,0.173294980949372,0.041707637279723264,0.10239187061129251,-0.16526121367057772,0.28435136260852034,1.724137931034483,-5,23,-3.0
190627-01-top,100ul_milliQ_water,m,Aedes aegypti,no,5.4,-7.1263025150197805,0.21549102463052439,0.16066433772801436,-1.4804105165347057,-0.13310363799890668,0.5794461493904228,-2.632513377599995,0,-3,4.0
